Design Code,Design Name,GenderTag,DesignCategory,height_mm,width_mm,size_prompt_note,ItemCategory,sellingPrice,Image link,Link,designPageURL,design_sizes,seo_image_path_hint
BIKR0987P33,The Talisman Evil Eye Pendant For Him,Male,Pendants,38.3,19.73,face_height_mm=38.3; face_width_mm=19.73,Diamond Studded,"134,780.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIKR0987P33_YAA18DIG6BLTOSIG7_ABCD00-PICS-00004-1024-80312.png",https://www.bluestone.com/pendants/the-talisman-evil-eye-pendant-for-him~115385.html,https://www.bluestone.com/pendants/the-talisman-evil-eye-pendant-for-him~115385.html,,ProductImages/seo images/Pendants/The Talisman Evil Eye Pendant For Him.png
BIKR0987V33,The Talisman Evil Eye Steel Bracelet,Male,Adjustable Bracelets,10.8,18.61,face_height_mm=10.8; face_width_mm=18.61,Diamond Studded,"53,272.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIKR0987V33_YAA18DIG6SIG8STSS_ABCD00-PICS-00000-1024-80652.png",https://www.bluestone.com/adjustable+bracelets/the-talisman-evil-eye-steel-bracelet~116807.html,https://www.bluestone.com/adjustable+bracelets/the-talisman-evil-eye-steel-bracelet~116807.html,,ProductImages/seo images/Adjustable Bracelets/The Talisman Evil Eye Steel Bracelet.png
BIKR0993R117,The Luvee Highway Ring,Female,Rings,20.94,7.38,face_height_mm=20.94; face_width_mm=7.38,Plain Gold,"78,561.00","https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIKR0993R117_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-89188.png",https://www.bluestone.com/rings/the-luvee-highway-ring~123242.html,https://www.bluestone.com/rings/the-luvee-highway-ring~123242.html,,ProductImages/seo images/Rings/The Luvee Highway Ring.png
BIMA0780C29,The Yosni Mangalsutra,Female,Mangalsutra Chains,166,128,face_height_mm=166.0; face_width_mm=128.0,Diamond Studded,"121,258.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA0780C29_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-56316.png",https://www.bluestone.com/mangalsutra+chains/the-yosni-mangalsutra~81520.html,https://www.bluestone.com/mangalsutra+chains/the-yosni-mangalsutra~81520.html,,ProductImages/seo images/Mangalsutra Chains/The Yosni Mangalsutra.png
BIMA0780C53,The Casma Mangalsutra,Female,Mangalsutra Chains,14.13,15.18,face_height_mm=14.13; face_width_mm=15.18,Diamond Studded,"72,833.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA0780C53_YAA14DIG6XXXXXXXX_ABCD00-PICS-00004-1024-66299.png",https://www.bluestone.com/mangalsutra+chains/the-casma-mangalsutra~93030.html,https://www.bluestone.com/mangalsutra+chains/the-casma-mangalsutra~93030.html,,ProductImages/seo images/Mangalsutra Chains/The Casma Mangalsutra.png
BIMA1081C01,The Yeijah Mangaslsutra Necklace,Female,Mangalsutra Chains,11.9,11.9,face_height_mm=11.9; face_width_mm=11.9,Diamond Studded,"152,901.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMA1081C01_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-111801.png",https://www.bluestone.com/mangalsutra+chains/the-yeijah-mangaslsutra-necklace~163411.html,https://www.bluestone.com/mangalsutra+chains/the-yeijah-mangaslsutra-necklace~163411.html,,ProductImages/seo images/Mangalsutra Chains/The Yeijah Mangaslsutra Necklace.png
BIMG0635V45,The Shining Star Bracelet,Female,Bracelets,9.5,152.4,"length_mm=152.4; cross_section_or_width_mm=9.5; use width for worn-scale, length as bracelet span",Plain Gold,"24,655.00","https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIMG0635V45_YAA18XXXXXXXXXXXX_ABCD00-PICS-00000-1024-47150.png",https://www.bluestone.com/bracelets/the-shining-star-bracelet~63731.html,https://www.bluestone.com/bracelets/the-shining-star-bracelet~63731.html,,ProductImages/seo images/Bracelets/The Shining Star Bracelet.png
BINK0363B03,The Skein Bangle,Female,Bangles,51.51,59.04,face_height_mm=51.51; face_width_mm=59.04,Diamond Studded,"256,290.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINK0363B03_YAA18DIG6XXXXXXXX_ABCD00-PICS-00002-1024-20291.png",https://www.bluestone.com/bangles/the-skein-bangle~27491.html,https://www.bluestone.com/bangles/the-skein-bangle~27491.html,,ProductImages/seo images/Bangles/The Skein Bangle.png
BINK0363H03,The Skein Hoop Earrings,Female,Earrings,17.95,6.16,face_height_mm=17.95; face_width_mm=6.16,Diamond Studded,"78,769.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINK0363H03_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-78023.png",https://www.bluestone.com/earrings/the-skein-hoop-earrings~27215.html,https://www.bluestone.com/earrings/the-skein-hoop-earrings~27215.html,,ProductImages/seo images/Earrings/The Skein Hoop Earrings.png
BINS0639R11,The Haily Ring,Female,Rings,21.96,14.64,face_height_mm=21.96; face_width_mm=14.64,Plain Gold,"115,012.00","https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0639R11_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-65665.png",https://www.bluestone.com/rings/the-haily-ring~64366.html,https://www.bluestone.com/rings/the-haily-ring~64366.html,,ProductImages/seo images/Rings/The Haily Ring.png
