Design Code,Design Name,Image link,Image,ItemCategory,sellingPrice,DesignCategory,Link
BIPM0017R18,The Malibu Ring,"https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPM0017R18_WAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71112.png",,Diamond Studded,"165,917.00",Rings,https://www.bluestone.com/rings/the-malibu-ring~2321.html
BIIP0090R24,The Ebony Ring,"https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0090R24_RAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-80790.png",,Diamond Studded,"140,159.00",Rings,https://www.bluestone.com/rings/the-ebony-ring~9686.html
BIKR0993R117,The Luvee Highway Ring,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIKR0993R117_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-89188.png",,Plain Gold,"78,561.00",Rings,https://www.bluestone.com/rings/the-luvee-highway-ring~123242.html
BVEM0663C65,The Chevalier Gold Chain,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVEM0663C65_YAA18XXXXXXXXXXXX_ABCD00-PICS-00003-1024-86476.png",,Plain Gold,"118,179.00",Chains,https://www.bluestone.com/chains/the-chevalier-gold-chain~124914.html
BIAV1037C17,The Ruan Cuban Diamond Chain,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV1037C17_YAA18DIG6XXXXXXXX_ABCD00-PICS-00003-1024-119354.png",,Diamond Studded,"574,233.00",Chains,https://www.bluestone.com/chains/the-ruan-cuban-diamond-chain~165221.html
BVEM0663C88,The Tetyana Gold Chain,"https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BVEM0663C88_YAA22XXXXXXXXXXXX_ABCD00-PICS-00003-1024-99995.png",,Plain Gold,"409,142.00",Chains,https://www.bluestone.com/chains/the-tetyana-gold-chain~124927.html
BISV0910V12,The Bandhan Bracelet For Him,"https://kinclimg6.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISV0910V12_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-99180.png",,Diamond Studded,"809,508.00",Bracelets,https://www.bluestone.com/bracelets/the-bandhan-bracelet-for-him~112002.html
BISV0910V26,The Network Link Bracelet,"https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISV0910V26_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-82467.png",,Diamond Studded,"675,420.00",Bracelets,https://www.bluestone.com/bracelets/the-network-link-bracelet~108784.html
BISV0910V22,The Concatenate Bracelet For Him,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISV0910V22_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-81503.png",,Diamond Studded,"452,337.00",Bracelets,https://www.bluestone.com/bracelets/the-concatenate-bracelet-for-him~109542.html
BIPO0945V20,The Fonseca Bracelet For Him,"https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0945V20_YAA18DIG6SYSBXXXX_ABCD00-PICS-00000-1024-87481.png",,Diamond Studded,"646,695.00",Bracelets,https://www.bluestone.com/bracelets/the-fonseca-bracelet-for-him~116367.html
BISV0910R24,The Interlink Band Ring,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISV0910R24_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-79454.png",,Diamond Studded,"179,763.00",Rings,https://www.bluestone.com/rings/the-interlink-band-ring~108785.html
BIPO0945V21,The Amandine Bracelet For Him,"https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0945V21_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-83427.png",,Diamond Studded,"598,694.00",Bracelets,https://www.bluestone.com/bracelets/the-amandine-bracelet-for-him~111826.html
BISL1006V249,The Kilxer Link Bracelet For Him,"https://kinclimg2.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISL1006V249_WAA18XXXXXXXXXXXX_ABCD00-PICS-00000-1024-108063.png",,Plain Gold,"469,372.00",Bracelets,https://www.bluestone.com/bracelets/the-kilxer-link-bracelet-for-him~163433.html
BISL0851R28,The Jasper Band For Him,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISL0851R28_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-70393.png",,Plain Gold,"141,595.00",Rings,https://www.bluestone.com/rings/the-jasper-band-for-him~93964.html
BISL1006V287,The Volara Bracelet For Him,"https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISL1006V287_YAA18DIG6XXXXXXXX_ABCD00-PICS-00000-1024-104117.png",,Diamond Studded,"935,891.00",Bracelets,https://www.bluestone.com/bracelets/the-volara-bracelet-for-him~163432.html
BIHS1145P21,The Valeria Rose Pendant,"https://kinclimg2.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIHS1145P21_RAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-119073.png",,Diamond Studded,"67,976.00",Pendants,https://www.bluestone.com/pendants/the-valeria-rose-pendant~181266.html
BISW1080P32,The Teshvarya Pendant,"https://kinclimg6.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P32_RAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-116053.png",,Diamond Studded,"126,490.00",Pendants,https://www.bluestone.com/pendants/the-teshvarya-pendant~173771.html
BISW1080P28,The Thyvarne Pendant,"https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P28_RAA18DIG6MALAXXXX_ABCD00-PICS-00004-1024-114065.png",,Diamond Studded,"74,007.00",Pendants,https://www.bluestone.com/pendants/the-thyvarne-pendant~173761.html
BISW1080P131,The Thaloria Pendant,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P131_RAA18DIG4SYTZSURL_ABCD00-PICS-00004-1024-113000.png",,Diamond Studded,"114,791.00",Pendants,https://www.bluestone.com/pendants/the-thaloria-pendant~165041.html
BISW1080P133,The Lumeelle Cluster Pendant,"https://kinclimg8.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P133_RAA18DIG4SYEMXXXX_ABCD00-PICS-00004-1024-114851.png",,Diamond Studded,"227,184.00",Pendants,https://www.bluestone.com/pendants/the-lumeelle-cluster-pendant~162509.html
BISW1080P132,The Sarvanya Pendant,"https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P132_WAA18DIG4LNBTXXXX_ABCD00-PICS-00004-1024-104460.png",,Diamond Studded,"106,868.00",Pendants,https://www.bluestone.com/pendants/the-sarvanya-pendant~156927.html
BISW1080P246,The Xarvithis Pendant,"https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BISW1080P246_RAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-103903.png",,Diamond Studded,"66,842.00",Pendants,https://www.bluestone.com/pendants/the-xarvithis-pendant~156920.html
BIIP0550P16,The Aagarna Pendant,"https://kinclimg8.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0550P16_YAA14DIG6SYEMXXXX_ABCD00-PICS-00004-1024-42508.png",,Diamond Studded,"28,113.00",Pendants,https://www.bluestone.com/pendants/the-aagarna-pendant~54965.html
