design_name,design_code,DesignCategory,GenderTag,height,width,designPageURL,design_sizes
The Skein Bangle,BINK0363B03,Bangles,Female,51.51,59.04,https://www.bluestone.com/bangles/the-skein-bangle~27491.html,
The Skein Hoop Earrings,BINK0363H03,Earrings,Female,17.95,6.16,https://www.bluestone.com/earrings/the-skein-hoop-earrings~27215.html,
The Rohal Huggie Earrings,BIPM0001H28,Earrings,Female,16,4.8,https://www.bluestone.com/earrings/the-rohal-huggie-earrings~21864.html,
The Aleena Huggie Earrings,BIIP0279S08,Earrings,Female,17.23,9.5,https://www.bluestone.com/earrings/the-aleena-huggie-earrings~16735.html,
The Asya Huggie Earrings,BISA0255D05,Earrings,Female,19.77,8.47,https://www.bluestone.com/earrings/the-asya-huggie-earrings~13494.html,
The Ebony Ring,BIIP0090R24,Rings,Female,20.56,18.35,https://www.bluestone.com/rings/the-ebony-ring~9686.html,
The Liza ring,BIAR0097R07,Rings,Female,21.56,7.91,https://www.bluestone.com/rings/the-liza-ring~7623.html,
The Anya Ring,BIAR0097R04,Rings,Female,20.57,6.28,https://www.bluestone.com/rings/the-anya-ring~7515.html,
The Malibu Ring,BIPM0017R18,Rings,Female,21.59,8.32,https://www.bluestone.com/rings/the-malibu-ring~2321.html,
The Muricelle Bangle,BISM0003O14,Bangles,Female,52.03,14.3,https://www.bluestone.com/bangles/the-muricelle-bangle~1001.html,
The Channing Bangle,BIPS0003O06,Bangles,Female,50.9,7.69,https://www.bluestone.com/bangles/the-channing-bangle~975.html,
